编号,名字,性别,字号,年龄,正史,籍贯,父亲,母亲,兄弟,配偶,孩子,官职,主效,效力,总年数,年代列表,总章节,章节列表,历史,小说,头像,链接,效力数,配偶数
4930,游奕,男,游奕,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,三国时魏官吏。景初二年（238），为南安太守，将兵讨蜀阴平太守廖惇，为惇所破。,未知,http://www.e3ol.com/biography/pic/id/240/4930.jpg,http://www.e3ol.com/biography/html/游奕/,1,0
1865,曹邕,男,曹邕,？-229,史实人物,豫州沛国谯(安徽亳州市亳县),曹丕,未知,曹叡|曹霖|曹贡|曹鉴|曹礼|曹蕤|曹协|曹俨|东乡公主,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,魏王公。曹丕之子。黄初二年（221），封淮南公，以九江郡为国。三年，进为淮南王。四年，改封陈。六年，改封邯郸。太和三年（229）卒，谥曰怀王。,未知,http://www.e3ol.com/biography/pic/id/240/1865.jpg,http://www.e3ol.com/biography/html/曹邕/,1,0
3242,刘望之,男,劉望之,？-？,史实人物,荆州南阳郡安众(河南南阳市邓州东北二十公里),未知,未知,未知,未知,未知,暂无相关记载,刘表,刘表,0,未知,0,未知,初为荆州牧刘表从事。后因正言直谏，佞人谗害，为刘表所杀。,未知,http://www.e3ol.com/biography/pic/id/240/3242.jpg,http://www.e3ol.com/biography/html/刘望之/,1,0
5850,吕产,男,吕産,？-公元前180,史实人物,兖州济阴郡单父(山东菏泽市单县),未知,未知,未知,未知,未知,暂无相关记载,其他,其他,0,未知,1,第22回,表字不详。秦末和西汉初人物，汉高祖皇后吕雉的侄子。吕雉死后，诸吕叛乱，周勃派刘章领兵进宫，杀掉吕产。及后诸吕势力很快就被周勃等人铲除。 ,西汉时期人，演义中曾提到此人。,http://www.e3ol.com/biography/pic/id/240/5850.jpg,http://www.e3ol.com/biography/html/吕产/,1,0
2227,杜阳,男,杜陽,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,初平中，任河阴令。其外甥韩浩为河内太守王匡从事，率兵拒董卓于盟津。董卓乃执阳，使招降韩浩，为韩浩所拒。,未知,http://www.e3ol.com/biography/pic/id/240/2227.jpg,http://www.e3ol.com/biography/html/杜阳/,1,0
3227,刘璩,男,劉璩,？-？,史实人物,幽州涿郡涿(河北保定市涿州),刘禅,未知,刘谌|刘璿|刘瓒|刘琮[刘禅子]|刘恂|刘瑶|刘氏[诸葛瞻妻],未知,未知,暂无相关记载,蜀,蜀,0,未知,0,未知,后主刘禅第七子。又名虔。后主景耀二年（259），立为上党王。魏咸熙元年（264），蜀亡，随后主东迁洛阳。约死于西晋永嘉（307-313）大乱中。,未知,http://www.e3ol.com/biography/pic/id/240/3227.jpg,http://www.e3ol.com/biography/html/刘璩/,1,0
2406,耿况,男,侠游,？-？,史实人物,司隶扶风茂陵(陕西咸阳市兴平东),未知,未知,未知,未知,耿弇,暂无相关记载,东汉,东汉,0,未知,0,未知,以明经为郎，与王莽从弟王伋共学《老子》于安丘先生。后归刘秀，封隃麋侯。卒谥烈。,未知,http://www.e3ol.com/biography/pic/id/240/2406.jpg,http://www.e3ol.com/biography/html/耿况/,1,0
193,程远志,男,程遠誌,虚构人物,虚构人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,起义军,起义军,1,公元184年,1,第1回,虚构人物，出自三国演义。 ,黄巾军将领，于三国演义第1回登场，统兵五万进犯涿郡。幽州刺史刘焉令校尉邹靖引刘备、关羽、张飞三人，统兵五百，前去破敌。在大兴山下，两军交战，程远志被关羽一刀挥为两段，余众溃散。,http://www.e3ol.com/biography/pic/id/240/193.jpg,http://www.e3ol.com/biography/html/程远志/,1,0
2672,贺循,男,彦先,260-319(60岁),史实人物,扬州会稽郡山阴(浙江绍兴市越城区),贺邵,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,父邵为孙皓所杀，流放临海。吴平，还乡里。举秀才，授阳羡、武康令。久之，召为太子舍人。司马睿为镇东将军，请循为军司马；及为晋王，以循为中书令，固让不受，转太常，领太子太傅。循好学博闻，尤善《三礼》，时朝廷初建，动有疑议，宗庙制度皆循所定。太兴二年（319）卒，追赠司空，谥曰穆。,未知,http://www.e3ol.com/biography/pic/id/240/2672.jpg,http://www.e3ol.com/biography/html/贺循/,1,0
5100,张纲,男,文纪,？-？,史实人物,益州犍为郡武阳(四川眉山市彭山县东、岷江东岸),张浩,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,少以三公子经明行修，举孝廉，不就；司徒辟，以高第为侍御史。顺帝汉安元年（142），拜光禄大夫，诏令持节案行天下贪廉。纲以为“豺狼当路，安问狐狸”，遂停留洛阳都亭不去，上书条列梁冀等无君之心十五事。顺帝知纲言不诬，然无心治冀。冀深恨纲。会广陵人张婴聚众数万杀刺史二千石，冀欲陷纲，讽尚书以纲为广陵太守，若不为婴所杀，则欲以法中伤之。前太守往，皆多请兵。及纲受拜，自言无用兵马。遂单车前往，说降张婴。论功，纲当封，为冀所遏绝，故不得侯。建康元年（144）病卒于广陵太守任上，年三十六。,未知,http://www.e3ol.com/biography/pic/id/240/5100.jpg,http://www.e3ol.com/biography/html/张纲/,1,0
