编号,实体1,关系,实体2
4930,游奕,mate,未知
1865,曹邕,mate,未知
3242,刘望之,mate,未知
5850,吕产,mate,未知
2227,杜阳,mate,未知
3227,刘璩,mate,未知
2406,耿况,mate,未知
193,程远志,mate,未知
2672,贺循,mate,未知
5100,张纲,mate,未知
254,关平,mate,未知
4054,孙奕,mate,未知
596,王忠[魏],mate,未知
4389,乌伦,mate,未知
4091,唐蹏,mate,未知
3210,刘琳,mate,未知
4183,王宏,mate,未知
2086,宕蕈,mate,未知
3607,裴宪,mate,未知
5561,左悺,mate,未知
2964,魁头,mate,未知
3180,刘固,mate,未知
5320,甄温,mate,未知
4032,孙松,mate,未知
5382,钟峻,mate,未知
3271,刘彦,mate,未知
4045,孙秀[西晋],mate,未知
4316,王祚,mate,未知
1998,陈准,mate,未知
5083,张纯[吴],mate,未知
4312,王子法,mate,未知
3142,刘班,mate,未知
2861,贾疋,mate,未知
5562,左骏伯,mate,未知
3221,刘普,mate,未知
3016,李郃,mate,未知
4191,王嘉,mate,未知
3167,刘敦,mate,未知
2286,费承,mate,未知
2153,董艾,mate,未知
2302,冯纯,mate,左夫人
5140,张夔,mate,未知
2025,程喜,mate,未知
5498,朱贞,mate,未知
3519,明德皇后,mate,刘庄
5733,崔夫人,mate,刘谌
3744,阮浑,mate,未知
3877,司马颙,mate,未知
19,赵云,mate,马云騄
312,卢植,mate,未知
2092,邓辅,mate,未知
5067,张白,mate,陆郁生
5530,祝奥,mate,未知
4700,荀衢,mate,未知
2480,管邈,mate,未知
4462,郤俭[魏],mate,未知
4143,王布,mate,未知
1995,陈正,mate,未知
4282,王延,mate,未知
5643,李邵[东汉],mate,未知
1824,曹潜,mate,未知
5404,种邵,mate,未知
3477,毛甘,mate,未知
2550,郭缊,mate,未知
3758,沙末汗,mate,未知
2355,高承,mate,未知
2261,樊陵,mate,未知
2529,郭全,mate,未知
1930,陈奉,mate,未知
4981,育延,mate,未知
2234,杜挚,mate,未知
929,陈应[刘表],mate,未知
2441,龚衡,mate,未知
6136,乌获,mate,未知
4328,卫固,mate,未知
313,兀突骨,mate,未知
3767,上官雝,mate,未知
2500,郭敞,mate,未知
5755,云英,mate,未知
2973,狼岑,mate,未知
4262,王坦之,mate,未知
2640,何熙,mate,未知
123,王威,mate,未知
222,审配,mate,未知
5112,张泓,mate,未知
5142,张礼,mate,未知
5500,朱志,mate,未知
5652,张氏[张温妹],mate,未知
3800,师宜官,mate,未知
2662,和郁,mate,未知
20,董卓,mate,未知
4497,夏侯湛,mate,未知
4723,荀禹,mate,未知
3015,李贵人,mate,曹丕
4324,隗渠,mate,未知
4659,许章,mate,未知
4264,王图,mate,未知
4525,向雄,mate,未知
3025,李基,mate,未知
1884,曹上,mate,未知
5637,李祯[东汉],mate,未知
1674,王弼,mate,未知
424,潘凤,mate,未知
1971,陈術,mate,未知
4149,王晨,mate,未知
5598,敬怀皇后,mate,孙权
91,顾雍,mate,未知
6152,贾玑,mate,未知
129,王粲,mate,未知
4043,孙兴,mate,未知
3909,苏衡,mate,未知
2035,仇昭仪,mate,曹丕
4815,杨虑,mate,未知
3374,路粹,mate,未知
4943,于兹,mate,未知
4268,王翁,mate,未知
2821,霍显,mate,霍光
3818,时苗,mate,未知
1909,车浚,mate,未知
1368,贾龙,mate,未知
2593,韩晞,mate,未知
303,高顺,mate,未知
2535,郭统,mate,未知
6158,纪瞻,mate,未知
5225,张逸,mate,未知
2846,贾琮,mate,未知
4809,杨俊[魏],mate,未知
3146,刘本,mate,未知
59,魏延,mate,未知
5263,赵酆,mate,未知
3411,吕雅,mate,未知
3443,马平[西晋],mate,未知
4334,卫京,mate,未知
190,张角,mate,未知
1982,陈勋,mate,未知
5989,郭喜,mate,未知
2831,吉邈,mate,未知
4877,阴夔,mate,未知
4185,王徽,mate,未知
4117,田彭祖,mate,未知
4817,杨密,mate,未知
2225,杜锡,mate,未知
5883,商汤,mate,未知
103,徐晃,mate,未知
1848,曹协,mate,未知
5633,刘弘[东汉],mate,未知
201,文丑,mate,未知
3506,孟兴,mate,未知
4881,殷纯,mate,未知
4099,陶丘一,mate,未知
1813,曹礼,mate,未知
5152,张邈[西晋],mate,未知
2997,李伯仁,mate,未知
3187,刘阖,mate,未知
3013,李固[东汉大臣],mate,未知
4016,武烈皇后,mate,孙坚
5330,甄子然,mate,未知
284,诸葛亮,mate,黄月英
4273,王象,mate,未知
3264,刘勋[东汉],mate,未知
2749,华周,mate,未知
2287,费恭,mate,未知
2233,杜轸,mate,未知
5197,张咸,mate,未知
3073,李绪,mate,未知
3289,刘舆,mate,未知
4590,徐矫,mate,未知
5569,赵咨[魏],mate,未知
5313,甄黄,mate,曹淑
3213,刘略[零陵太守],mate,未知
5541,宗玮,mate,未知
3492,孟贲,mate,未知
2919,靳详,mate,未知
5181,张硕,mate,未知
26,甘宁,mate,未知
9,司马懿,mate,张春华
4651,许相,mate,未知
2732,华当,mate,未知
4998,袁迪,mate,未知
28,吕布,mate,貂蝉
28,吕布,mate,严氏
4639,许据,mate,未知
4234,王岐,mate,未知
5669,秦庆童,mate,未知
2709,胡潜,mate,未知
3410,吕巽,mate,未知
524,袁绍,mate,未知
3880,司马越,mate,未知
3752,芮良,mate,未知
5301,赵稚长,mate,未知
3296,刘肇,mate,邓绥
5514,诸葛玫,mate,未知
4442,伍隆,mate,未知
4129,投鹿侯,mate,未知
2788,黄耈,mate,未知
285,诸葛瞻,mate,刘氏[诸葛瞻妻]
5091,张璠,mate,未知
5595,郤俭[东汉],mate,未知
1965,陈时,mate,未知
1902,常房,mate,未知
1972,陈肃,mate,未知
5106,张颢,mate,未知
2318,伏德,mate,未知
5574,张婴[东汉],mate,未知
1595,郭修,mate,未知
5582,张津,mate,未知
5586,张奉[中常侍],mate,未知
3789,审固,mate,未知
5468,朱盖,mate,未知
3994,孙闿,mate,未知
3183,刘汉,mate,未知
4770,燕荔阳,mate,未知
6012,栈潜,mate,未知
1870,曹则,mate,未知
41,张辽,mate,未知
17,孙权,mate,步夫人
17,孙权,mate,潘夫人
17,孙权,mate,徐夫人
17,孙权,mate,谢夫人
17,孙权,mate,袁夫人
17,孙权,mate,仲姬
17,孙权,mate,大懿皇后
17,孙权,mate,敬怀皇后
3196,刘节,mate,未知
4898,尹嘉,mate,未知
1896,镡承,mate,未知
4151,王澄,mate,未知
4515,鲜于嗣,mate,未知
5939,杜牧,mate,未知
11,曹操,mate,武宣皇后
11,曹操,mate,丁夫人
11,曹操,mate,杜夫人
11,曹操,mate,李姬
11,曹操,mate,刘夫人
11,曹操,mate,刘姬
11,曹操,mate,秦夫人
11,曹操,mate,孙姬
11,曹操,mate,王昭仪
11,曹操,mate,尹夫人
11,曹操,mate,赵姬
11,曹操,mate,周姬
11,曹操,mate,宋姬[曹操妃]
11,曹操,mate,陈氏[曹操妾]
11,曹操,mate,刘氏[曹操妾]
29,貂蝉,mate,吕布
4291,王廙,mate,未知
5007,袁礼,mate,未知
3505,孟武,mate,未知
2047,崔瑷,mate,未知
4489,夏侯氏[单固母],mate,单伯龙
4261,王遂,mate,未知
4931,游殷,mate,未知
3784,沈珩,mate,未知
4220,王隆,mate,未知
688,钟会,mate,未知
1349,张世平,mate,未知
2986,乐资,mate,未知
5571,赵达[魏],mate,未知
5289,赵温,mate,未知
1975,陈桃,mate,未知
5653,陈祎[魏],mate,未知
5640,李兴[西晋],mate,未知
4583,徐顾,mate,未知
2929,沮宗,mate,未知
48,关羽,mate,未知
3865,司马氏[荀霬妻],mate,荀霬
2791,黄疆,mate,未知
18,马超,mate,杨氏
18,马超,mate,董氏[马超妻]
2021,程祁,mate,未知
5,庞统,mate,未知
2340,傅咸,mate,未知
3260,刘雄鸣,mate,未知
280,钟繇,mate,孙氏[钟繇妾]
280,钟繇,mate,贾氏[钟繇妻]
280,钟繇,mate,张氏[钟繇妻]
4708,荀崧,mate,未知
4744,严爽,mate,未知
5260,赵敦,mate,未知
5601,王彧[东汉],mate,未知
2315,冯愔,mate,未知
5581,张京[军祭酒],mate,未知
4537,谢斐,mate,未知
2322,扶罗韩,mate,未知
5843,召公奭,mate,未知
4384,文雍,mate,未知
4890,殷署,mate,未知
6019,郭常子,mate,未知
1494,司马徽童子,mate,未知
2003,成藩,mate,未知
2829,吉黄,mate,未知
4862,野王君,mate,未知
49,张飞,mate,夏侯氏[张飞妻]
5482,朱淑媛,mate,曹丕
5903,鲁昭公,mate,未知
2661,和逌,mate,未知
6132,羊角哀,mate,未知
1853,曹玹,mate,未知
97,典韦,mate,未知
5944,曹盱,mate,未知
5485,朱琬,mate,未知
3643,綦毌闿,mate,未知
5408,仲兴,mate,未知
6108,楚义帝,mate,未知
4131,万秉,mate,未知
4516,鲜于银,mate,未知
2494,广阳顺王,mate,未知
2150,东里衮,mate,未知
5723,葛雍,mate,未知
4696,荀靖,mate,未知
1932,陈琮,mate,未知
115,徐庶,mate,未知
5358,郑小同,mate,未知
1944,陈堪,mate,未知
2761,桓氏,mate,未知
5599,灵怀皇后,mate,刘宏[汉灵帝]
196,何仪,mate,未知
3584,庞延[魏],mate,未知
3105,梁广,mate,未知
3822,史璜,mate,未知
5589,阴贵人,mate,曹丕
2656,和峤,mate,未知
712,轲比能,mate,未知
5041,云午,mate,未知
4280,王恂,mate,未知
2493,灌均,mate,未知
3070,李休,mate,未知
3049,李邵[蜀],mate,未知
4994,袁敞,mate,未知
5352,郑舒,mate,未知
54,黄忠,mate,未知
5004,袁徽,mate,未知
4673,薛乔,mate,未知
4888,殷礼,mate,未知
2926,苴罗侯,mate,未知
2714,胡喜,mate,未知
4915,应劭,mate,未知
3481,毛嘉,mate,未知
3908,苏固,mate,未知
3224,刘乔,mate,未知
2945,孔尚,mate,未知
30,程昱,mate,未知
3010,李服,mate,未知
99,乐进,mate,未知
3507,孟曜,mate,未知
3469,马照,mate,未知
5927,后羿,mate,未知
5086,张当,mate,未知
31,孙策,mate,大乔
655,朱治,mate,未知
5470,朱汉,mate,未知
67,周瑜,mate,小乔
5156,张慕,mate,未知
4644,许钦,mate,未知
1893,柴玉,mate,未知
675,袁胤,mate,未知
5363,郑妪,mate,未知
1,刘备,mate,孙夫人
1,刘备,mate,昭烈皇后
1,刘备,mate,麋夫人
1,刘备,mate,穆皇后
5006,袁侃,mate,未知
5486,朱万岁,mate,未知
1955,陈迁,mate,未知
4577,徐粲,mate,未知
4709,荀肃,mate,未知
2077,戴员,mate,未知
5373,挚虞,mate,未知
4233,王普,mate,未知
1828,曹邵,mate,未知
5641,李骧[西晋],mate,未知
623,许褚,mate,未知
2498,郭颁,mate,未知
3249,刘夏,mate,未知
4879,阴欣,mate,未知
2341,傅宣,mate,未知
5336,郑长,mate,未知
5220,张倚,mate,未知
5636,刘宝[吴],mate,未知
5829,刘贞,mate,未知
2507,郭诞[魏],mate,未知
2740,华融,mate,未知
2565,韩邦,mate,未知
4094,堂溪典,mate,未知
2031,程郁,mate,未知
2270,樊伷,mate,未知
3437,马恢,mate,未知
4966,虞喜,mate,未知
2132,丁宫,mate,未知
4811,杨康,mate,未知
5368,郑众,mate,未知
2790,黄华,mate,未知
2235,度尚,mate,未知
4029,孙盛[西晋],mate,未知
2124,丁冲,mate,未知
2840,祭肜,mate,未知
4057,孙胤,mate,未知
3493,孟超,mate,未知
2953,孔昱,mate,未知
3398,吕凯[吴],mate,未知
4602,徐绍,mate,未知
3983,孙基,mate,未知
3247,刘熙[东汉],mate,未知
5383,钟骏,mate,未知
3622,邳肜,mate,未知
3029,李矩,mate,未知
5025,袁信,mate,未知
3619,彭式,mate,未知
3817,石伟,mate,未知
1729,卞隆,mate,顺阳乡君
1729,卞隆,mate,显阳乡君
3874,司马乂,mate,未知
4092,唐珍,mate,未知
5002,袁淮,mate,未知
4176,王广,mate,未知
2263,樊普,mate,未知
4776,羊秘,mate,未知
5632,刘靖[吴],mate,未知
4624,徐质[魏利城郡太守],mate,未知
2391,高焉,mate,未知
5921,孝元皇后,mate,刘奭
2648,何恽,mate,未知
3252,刘咸,mate,未知
5897,楚灵王,mate,未知
3064,李伟,mate,未知
3485,毛曾,mate,未知
3256,刘嚣,mate,未知
5294,赵颙,mate,未知
4550,谢顺,mate,未知
3376,路合,mate,未知
3091,李昭[东汉],mate,未知
1808,曹峻,mate,未知
3557,潘尼,mate,未知
